name,v_nom,x,y,wkt_srid_4326,frequency,ref,operator,osm_name,voltage,typ
125_220kV,220.0,6.96568442352,51.0693295322,SRID=4326;POINT(6.96568442352005 51.0693295322353),,,RWE,Station Opladen,380000;220000;110000,substation
128_220kV,220.0,7.44948529011,50.4025276621,SRID=4326;POINT(7.44948529010545 50.4025276621126),50,,Amprion,Station Weißenthurm,380000;220000;110000,substation
129_220kV,220.0,6.62582790177,51.2606098249,SRID=4326;POINT(6.62582790177014 51.2606098249047),50,,RWE,Station Osterath,220000;110000,substation
138_220kV,220.0,7.0067498786,51.599911422,SRID=4326;POINT(7.00674987859998 51.5999114220203),,,,Kraftwerk Scholven,,generator
143_220kV,220.0,7.35135784055,51.5683686081,SRID=4326;POINT(7.35135784054859 51.568368608134),,,E.On Kraftwerke GmbH,Kraftwerk Knepper,,generator
156_220kV,220.0,6.84223115148,50.8598647244,SRID=4326;POINT(6.84223115147656 50.8598647243573),,,,Kraftwerkschaltanlage Knapsack 1,380000;220000,substation
157_220kV,220.0,8.3642295307,51.9271204905,SRID=4326;POINT(8.364229530696 51.9271204904611),50,,Amprion,Station Gütersloh,380000;220000;110000,substation
159_220kV,220.0,8.05408735442,53.3323026934,SRID=4326;POINT(8.05408735442182 53.3323026933898),50,CONN,TenneT,Conneforde,380000;220000;110000,substation
160_220kV,220.0,8.47791063609,53.428485469,SRID=4326;POINT(8.47791063608626 53.428485468955),50,,EON_Netz,Kernkraftwerk Unterweser,380000;220000,substation
165_220kV,220.0,7.70831848873,51.6762033088,SRID=4326;POINT(7.70831848872651 51.6762033088437),50,,Amprion,Station Gersteinwerk,380000;220000;110000,substation
184_220kV,220.0,6.61738109143,51.4757909636,SRID=4326;POINT(6.61738109142906 51.4757909635544),50,,Amprion,Station Utfort,380000;220000;110000,substation
191_220kV,220.0,6.71525259692,51.5267908666,SRID=4326;POINT(6.71525259691926 51.5267908666491),50,,Amprion,Station Walsum,220000;110000,substation
195_220kV,220.0,6.68310697664,51.5756455059,SRID=4326;POINT(6.68310697663871 51.5756455059265),,,,Station Möllen,220000,substation
201_220kV,220.0,9.25103425144,53.1144323051,SRID=4326;POINT(9.25103425143703 53.1144323051271),50,,EON_Netz,Sottrum,380000;220000;110000,substation
